2.316319899999999876e+00 2.609218699999999913e+01 3.500000000000000000e+01
2.534324199999999916e+00 1.162190400000000068e+02 5.000000000000000000e+01
2.681526299999999807e+00 8.177767599999999959e+01 4.500000000000000000e+01
1.628851600000000133e+02 1.496581999999999937e+02 3.000000000000000000e+01
1.201008000000000067e+02 1.496581999999999937e+02 2.600000000000000000e+01
7.044546599999999614e+01 1.499068200000000104e+02 4.600000000000000000e+01
1.999219600000000128e+02 1.207026599999999945e+02 2.500000000000000000e+01
2.000335300000000132e+02 3.846944299999999828e+01 5.000000000000000000e+00
2.001705800000000011e+02 7.578110999999999819e+01 2.400000000000000000e+01
3.687504200000000054e+01 1.655397100000000066e+00 1.500000000000000000e+01
7.573092200000000673e+01 1.406783700000000081e+00 2.800000000000000000e+01
1.508078700000000083e+02 1.406783700000000081e+00 2.700000000000000000e+01
2.556406500000000026e+00 1.406783700000000081e+00 2.600000000000000000e+01
2.556406500000000026e+00 1.494095900000000086e+02 3.400000000000000000e+01
2.001705800000000011e+02 1.494095900000000086e+02 2.900000000000000000e+01
2.003080099999999959e+02 1.158157099999999939e+00 2.200000000000000000e+01
5.802651699999999835e+01 1.170725999999999942e+02 4.000000000000000000e+01
6.996598799999999585e+01 7.553249300000000233e+01 2.000000000000000000e+01
2.743101899999999915e+01 9.418813299999999344e+01 5.200000000000000000e+01
2.743101899999999915e+01 4.468837599999999810e+01 1.700000000000000000e+01
5.827513600000000338e+01 2.230114299999999972e+01 2.100000000000000000e+01
8.858032199999999534e+01 1.091905500000000018e+02 3.700000000000000000e+01
1.383707699999999932e+02 1.066256099999999947e+02 3.200000000000000000e+01
1.660311100000000124e+02 8.224866199999999594e+01 2.300000000000000000e+01
1.659334399999999903e+02 4.435135100000000108e+01 1.000000000000000000e+01
1.135093300000000056e+02 8.108586999999999989e+01 1.800000000000000000e+01
1.316800900000000070e+02 3.726843099999999964e+01 8.000000000000000000e+00
1.014513400000000019e+02 6.673858300000000554e+01 3.100000000000000000e+01
8.882276299999999480e+01 3.478456400000000315e+01 1.200000000000000000e+01
